Date,Open,Highest,Lowest,Close,Range,Range%,Trade,Volume
17/03/2017,3485.3114,3488.4969,3441.4685,3445.8051,-35.7015,-1.0255,10375556000,1.22E+11
16/03/2017,3472.2694,3492.1267,3472.2694,3481.5066,17.863,0.5157,10633391300,1.25E+11
15/03/2017,3452.2139,3463.9191,3445.2676,3463.6436,6.9502,0.2011,7910495400,94056256667
14/03/2017,3456.6584,3465.3915,3448.9034,3456.6934,-1.4046,-0.0406,7707796300,95317564129
13/03/2017,3425.6723,3458.098,3412.6879,3458.098,30.2064,0.8812,9168412400,1.08E+11
10/03/2017,3423.9776,3436.2388,3423.9369,3427.8916,0.9478,0.0277,7001619900,82161714923
09/03/2017,3442.8953,3443.0455,3414.6782,3426.9438,-21.7875,-0.6318,8457038100,90090049490
08/03/2017,3452.2006,3457.0351,3441.2575,3448.7313,-5.2252,-0.1513,7958769000,89124904682
07/03/2017,3446.1628,3454.0386,3440.0574,3453.9565,7.4725,0.2168,8033472000,94483824245
06/03/2017,3427.2533,3449.0342,3425.9041,3446.484,18.6212,0.5432,8307088200,95178548496
03/03/2017,3424.6627,3428.8824,3412.8312,3427.8628,-7.2335,-0.2106,8099465200,90009618835
02/03/2017,3463.4829,3468.471,3434.001,3435.0963,-23.3413,-0.6749,8989807700,97876187925
01/03/2017,3452.2058,3472.6962,3449.109,3458.4376,5.6273,0.163,10326035400,1.09E+11
28/02/2017,3445.0274,3460.9089,3441.3589,3452.8103,6.5875,0.1912,7521526000,81979307361
27/02/2017,3471.1319,3472.8356,3441.3938,3446.2228,-27.6289,-0.7953,9867216000,1.07E+11
24/02/2017,3468.9588,3473.8517,3455.2514,3473.8517,0.5281,0.0152,9553513300,99875164759
23/02/2017,3487.5745,3492.9616,3460.118,3473.3236,-16.4331,-0.4709,9953633000,1.07E+11
22/02/2017,3483.2008,3489.946,3473.524,3489.7567,6.9337,0.1991,10281599400,1.09E+11
21/02/2017,3475.0584,3490.0855,3472.017,3482.823,11.4304,0.3293,11484200900,1.21E+11
20/02/2017,3421.6434,3472.6035,3421.6434,3471.3926,49.9507,1.4599,13262886200,1.35E+11
17/02/2017,3443.6166,3457.5562,3419.6143,3421.4419,-19.4912,-0.5665,11460003600,1.18E+11
16/02/2017,3421.8299,3440.9331,3418.3514,3440.9331,19.22,0.5617,10827696200,1.02E+11
15/02/2017,3435.3882,3448.0322,3417.0811,3421.7131,-14.0911,-0.4101,12764333800,1.25E+11
14/02/2017,3438.511,3440.6748,3424.4028,3435.8042,-0.4708,-0.0137,9480946500,98537165438
13/02/2017,3416.9168,3439.5432,3416.8746,3436.275,22.7882,0.6676,12014453800,1.25E+11
10/02/2017,3398.3173,3422.3256,3398.0295,3413.4868,17.1944,0.5063,12376872000,1.22E+11
09/02/2017,3381.8992,3406.5888,3379.7872,3396.2924,13.0046,0.3844,9755851500,1.02E+11
08/02/2017,3361.7811,3383.6859,3347.4302,3383.2878,17.6029,0.523,7540287900,82869735773
07/02/2017,3371.7695,3376.7099,3354.6251,3365.6849,-7.5202,-0.2229,6375446200,69758178999
06/02/2017,3368.1081,3381.3348,3358.7516,3373.2051,8.7128,0.259,6852136000,73408134768
03/02/2017,3390.9315,3392.4773,3362.5653,3364.4923,-23.4683,-0.6927,5518886100,57113853255
26/01/2017,3378.2609,3395.8848,3378.2609,3387.9606,12.0564,0.3571,6531664700,66488818305
25/01/2017,3361.6561,3376.4415,3357.2183,3375.9042,11.4533,0.3404,5837693100,62483395802
24/01/2017,3363.1374,3371.32,3355.899,3364.4509,0.3701,0.011,6619422600,66049651289
23/01/2017,3359.0543,3378.7388,3355.8475,3364.0808,9.1917,0.274,7555749800,76492660154
20/01/2017,3326.9773,3358.4121,3326.374,3354.8891,25.6,0.7689,6530046200,70831324310
19/01/2017,3330.9522,3346.4959,3324.6835,3329.2891,-10.0762,-0.3017,6615980800,63869709163
18/01/2017,3323.3389,3350.9619,3320.4062,3339.3653,13.009,0.3911,7062322700,75680677264
17/01/2017,3305.6001,3327.3767,3292.2044,3326.3563,6.9108,0.2082,6945332800,74754505696
16/01/2017,3314.1507,3322.7819,3264.2071,3319.4455,-0.4667,-0.0141,15777913500,1.53E+11
13/01/2017,3317.9625,3338.174,3309.3741,3319.9122,2.2881,0.069,8418058900,84556101403
12/01/2017,3332.6857,3343.1279,3315.9629,3317.6241,-16.8713,-0.506,8123913500,75031886874
11/01/2017,3355.8008,3366.6315,3334.2978,3334.4954,-23.7762,-0.708,9107143800,86750457122
10/01/2017,3361.6394,3370.5051,3354.0878,3358.2716,-5.6298,-0.1674,8381916000,82533965080
09/01/2017,3345.7483,3366.2219,3344.3472,3363.9014,16.2349,0.485,8370794200,87916115243
06/01/2017,3366.8522,3368.8705,3346.8914,3347.6665,-20.1227,-0.5975,8745911400,91072256748
05/01/2017,3368.3402,3373.4119,3361.462,3367.7892,-0.5225,-0.0155,8833635700,91189339582
04/01/2017,3340.5576,3369.5658,3338.1527,3368.3117,26.0845,0.7805,9005082700,98014355468
03/01/2017,3313.9534,3345.2629,3313.9534,3342.2272,32.1464,0.9712,8656789600,87612765768
30/12/2016,3302.5993,3313.5497,3295.7513,3310.0808,12.316,0.3735,7174411600,76921368838
29/12/2016,3297.036,3312.113,3288.0959,3297.7648,-4.1239,-0.1249,7008792300,75972960431
28/12/2016,3315.7526,3320.5467,3293.1737,3301.8887,-14.4965,-0.4371,6900043700,71759839566
27/12/2016,3319.2061,3330.2324,3315.8318,3316.3852,-6.0154,-0.1811,7548635900,79617133030
26/12/2016,3293.2236,3322.4212,3267.0481,3322.4006,14.8015,0.4475,8979398200,95493219936
23/12/2016,3333.4009,3334.8937,3300.8843,3307.5991,-28.0729,-0.8416,9744471300,99575473231
22/12/2016,3335.1218,3340.3628,3322.7196,3335.672,-2.864,-0.0858,9227724900,92564877570
21/12/2016,3313.7451,3342.4761,3313.7451,3338.536,29.4719,0.8906,10825499500,1.06E+11
20/12/2016,3328.2985,3329.1022,3289.2682,3309.0641,-19.9186,-0.5983,8756959200,88527345889
19/12/2016,3342.3449,3344.8584,3324.9986,3328.9827,-17.0478,-0.5095,8164067800,86095693838
16/12/2016,3335.3625,3356.2916,3330.4928,3346.0305,5.5967,0.1675,9077542200,98112206845
15/12/2016,3363.8597,3378.0367,3327.1429,3340.4338,-38.5115,-1.1397,11496066000,1.22E+11
14/12/2016,3399.4113,3412.2795,3378.2656,3378.9453,-26.0902,-0.7662,12400774400,1.26E+11
13/12/2016,3394.2072,3416.2147,3370.5956,3405.0355,-4.1439,-0.1216,12110509700,1.24E+11
12/12/2016,3489.2683,3495.8022,3400.793,3409.1794,-84.521,-2.4192,18746775100,1.99E+11
09/12/2016,3464.8733,3507.9276,3461.7612,3493.7004,23.5578,0.6789,15030330800,1.53E+11
08/12/2016,3481.8067,3484.3402,3466.512,3470.1426,-5.6047,-0.1613,11738392200,1.19E+11
07/12/2016,3458.3687,3475.7473,3445.7561,3475.7473,16.594,0.4797,11434510300,1.15E+11
06/12/2016,3466.2417,3477.5901,3456.8067,3459.1533,-10.254,-0.2956,11552909000,1.26E+11
05/12/2016,3473.6876,3496.8838,3457.3433,3469.4073,-59.5474,-1.6874,18085235500,1.90E+11
02/12/2016,3559.7711,3562.5497,3516.7881,3528.9547,-36.0813,-1.0121,19635548000,2.04E+11
01/12/2016,3543.9555,3575.97,3543.245,3565.036,27.035,0.7641,18017076100,2.00E+11
30/11/2016,3557.6357,3567.0689,3527.0231,3538.001,-26.0394,-0.7306,17856017800,1.91E+11
29/11/2016,3525.9011,3583.7185,3521.3787,3564.0404,28.9597,0.8192,23691835600,2.48E+11
28/11/2016,3538.6754,3553.3603,3528.3196,3535.0807,13.7823,0.3914,20737548300,2.20E+11
25/11/2016,3490.0399,3521.3029,3463.9477,3521.2984,32.5582,0.9332,15362150600,1.67E+11
24/11/2016,3468.8071,3508.1648,3467.0108,3488.7402,14.0113,0.4032,14574630100,1.65E+11
23/11/2016,3473.8949,3492.9564,3465.7639,3474.7289,6.3652,0.1835,16238850400,1.71E+11
22/11/2016,3443.2201,3469.2189,3443.2201,3468.3637,27.2531,0.792,16852344600,1.67E+11
21/11/2016,3412.6523,3463.1423,3412.0801,3441.1106,23.6552,0.6922,14643452900,1.48E+11
18/11/2016,3437.4898,3443.1185,3413.2698,3417.4554,-19.0796,-0.5552,11595120500,1.17E+11
17/11/2016,3423.4654,3437.669,3412.8771,3436.535,6.9429,0.2024,12156173100,1.22E+11
